model,reranking_strategy,beta_mode,beta_value,N,fold,avg_recall,avg_precision,avg_f1,avg_ndcg,avg_EI,prop_sust_recom_items,nbr_sust_items_list,prop_sust_users,sust_coverage,coverage,avg_spearman_coef,prop_sust_recom_durable,prop_sust_recom_nondurable,gap
mf,A,behavioral,p,5,5,0.0107,0.0066,0.008,0.0089,8.116,0.5231,2.6154,0.9012,0.0407,0.0205,-0.0798,0.6036,0.4545,0.149
mf,A,semantic,p,5,5,0.0084,0.0053,0.0063,0.0075,4.2648,0.7543,3.7714,0.9824,0.0395,0.0176,-0.0964,0.7448,0.7624,-0.0176
mf,A,hybrid_5,p,5,5,0.0099,0.0062,0.0074,0.0085,7.2263,0.5711,2.8554,0.9294,0.0395,0.0186,-0.0954,0.6355,0.5162,0.1193
mf,A,hybrid_10,p,5,5,0.0093,0.0059,0.007,0.008,6.6387,0.6062,3.0312,0.9504,0.0407,0.0184,-0.1054,0.6574,0.5627,0.0947
mf,A,hybrid_20,p,5,5,0.0094,0.0058,0.007,0.0081,5.9918,0.6479,3.2396,0.9662,0.0395,0.018,-0.1121,0.6829,0.6181,0.0647
mf,B,global_0.0,0.0,5,5,0.0117,0.0074,0.0088,0.0103,14.6096,0.1848,0.924,0.6392,0.0116,0.0146,-0.0634,0.1897,0.1806,0.0091
mf,B,global_0.2,0.2,5,5,0.0116,0.0073,0.0087,0.0098,10.4763,0.3774,1.8868,0.8656,0.0287,0.018,-0.0776,0.3761,0.3784,-0.0024
mf,B,global_0.4,0.4,5,5,0.0112,0.007,0.0084,0.0094,9.2052,0.451,2.255,0.9414,0.0331,0.018,0.0024,0.4457,0.4555,-0.0097
mf,B,global_0.6,0.6,5,5,0.0109,0.0069,0.0082,0.0092,7.5312,0.56,2.8,0.9988,0.0339,0.0176,0.0432,0.5543,0.5648,-0.0105
mf,B,global_0.8,0.8,5,5,0.0094,0.006,0.0071,0.008,5.4879,0.6954,3.4772,1.0,0.0343,0.0172,0.115,0.696,0.695,0.001
mf,B,global_1.0,1.0,5,5,0.0012,0.0008,0.0009,0.001,1.4035,0.8,4.0,1.0,0.0024,0.0011,0.359,0.8,0.8,0.0
mf,B,behavioral,p,5,5,0.0115,0.0072,0.0086,0.0096,9.8922,0.4157,2.0784,0.8998,0.0343,0.0197,-0.0205,0.4621,0.3761,0.0859
mf,B,semantic,p,5,5,0.0112,0.007,0.0084,0.0093,7.7965,0.5428,2.714,0.9824,0.0379,0.0196,0.0507,0.537,0.5477,-0.0107
mf,B,hybrid_5,p,5,5,0.0115,0.0072,0.0086,0.0096,9.3348,0.4442,2.2208,0.9294,0.0351,0.0192,-0.0072,0.48,0.4136,0.0664
mf,B,hybrid_10,p,5,5,0.0115,0.0071,0.0085,0.0093,9.036,0.4634,2.3168,0.9504,0.0347,0.0187,0.003,0.4907,0.4401,0.0506
mf,B,hybrid_20,p,5,5,0.0112,0.007,0.0084,0.0093,8.6685,0.486,2.4302,0.9662,0.0351,0.0188,0.0121,0.5034,0.4713,0.0321
