model,reranking_strategy,beta_mode,beta_value,N,fold,avg_recall,avg_precision,avg_f1,avg_ndcg,avg_EI,prop_sust_recom_items,nbr_sust_items_list,prop_sust_users,sust_coverage,coverage,avg_spearman_coef,prop_sust_recom_durable,prop_sust_recom_nondurable,gap
mf,A,hybrid_20,p,5,4,0.1431,0.1077,0.1218,0.1569,2.7126,0.5849,2.9243,0.8667,0.3106,0.0217,0.2549,0.3128,0.5951,-0.2824
mf,B,global_0.0,0.0,5,4,0.2798,0.1918,0.2257,0.2844,4.3206,0.0,0.0,0.0,0.0,0.0171,0.2323,0.0,0.0,0.0
mf,B,global_0.2,0.2,5,4,0.2748,0.1885,0.2217,0.2539,3.2149,0.3503,1.7516,0.8036,0.0455,0.0155,0.1158,0.2309,0.3548,-0.1239
mf,B,global_0.4,0.4,5,4,0.2422,0.1677,0.1965,0.2019,2.9918,0.4478,2.2392,0.891,0.0606,0.0147,0.1821,0.2685,0.4546,-0.1861
mf,B,global_0.6,0.6,5,4,0.1337,0.1007,0.1138,0.1171,2.6886,0.5838,2.9192,0.983,0.0909,0.0138,0.1933,0.3812,0.5915,-0.2103
mf,B,global_0.8,0.8,5,4,0.0996,0.0759,0.0854,0.0893,2.4766,0.6835,3.4173,1.0,0.0985,0.0118,0.2576,0.5101,0.69,-0.1799
mf,B,global_1.0,1.0,5,4,0.0001,0.0001,0.0001,0.0001,2.4,0.8,4.0,1.0,0.0379,0.001,0.2235,0.8,0.8,0.0
mf,B,behavioral,p,5,4,0.2798,0.1918,0.2257,0.2844,4.2939,0.0078,0.0389,0.0114,0.0379,0.0178,0.2282,0.2148,0.0,0.2148
mf,B,semantic,p,5,4,0.1484,0.1104,0.1254,0.1341,2.7485,0.5572,2.7861,0.9584,0.0909,0.0144,0.1648,0.3664,0.5644,-0.198
mf,B,hybrid_5,p,5,4,0.2772,0.1901,0.2236,0.2597,3.2996,0.3229,1.6144,0.7002,0.0606,0.0164,0.0807,0.2362,0.3261,-0.0899
mf,B,hybrid_10,p,5,4,0.2748,0.1885,0.2217,0.2538,3.2046,0.3536,1.7681,0.82,0.0682,0.0161,0.126,0.2537,0.3574,-0.1037
