model,reranking_strategy,beta_mode,beta_value,N,fold,avg_recall,avg_precision,avg_f1,avg_ndcg,avg_EI,prop_sust_recom_items,nbr_sust_items_list,prop_sust_users,sust_coverage,coverage,avg_spearman_coef,prop_sust_recom_durable,prop_sust_recom_nondurable,gap
content,B,global_1.0,1.0,5,4,0.0009,0.0006,0.0007,0.0008,1.3881,0.8,4.0,1.0,0.0024,0.0011,0.359,0.8,0.8,0.0
content,B,behavioral,p,5,4,0.001,0.0006,0.0007,0.0009,9.4221,0.4749,2.3746,0.9118,0.607,0.5226,0.0832,0.5976,0.3721,0.2256
content,B,semantic,p,5,4,0.0011,0.0006,0.0008,0.001,6.9717,0.6125,3.0624,0.9916,0.6485,0.4947,0.1749,0.6616,0.5713,0.0903
content,B,hybrid_5,p,5,4,0.0008,0.0005,0.0006,0.0009,8.6353,0.5082,2.5408,0.9496,0.617,0.5146,0.0943,0.6152,0.4185,0.1967
content,B,hybrid_10,p,5,4,0.0008,0.0005,0.0006,0.0008,8.2357,0.5288,2.644,0.9654,0.625,0.5117,0.1071,0.6253,0.4479,0.1773
content,B,hybrid_20,p,5,4,0.0009,0.0005,0.0007,0.0009,7.8454,0.5516,2.7582,0.977,0.6325,0.5063,0.1287,0.6354,0.4815,0.1539
content,none,none,none,5,5,0.0009,0.0006,0.0007,0.0009,13.0237,0.348,1.7398,0.772,0.5241,0.5274,0.0097,0.4199,0.2867,0.1332
content,A,global_0.0,0.0,5,5,0.0009,0.0006,0.0007,0.0009,13.0237,0.348,1.7398,0.772,0.5241,0.5274,0.0097,0.4199,0.2867,0.1332
content,A,global_0.2,0.2,5,5,0.0009,0.0006,0.0007,0.0009,8.9638,0.484,2.4198,0.8864,0.5982,0.5088,0.0292,0.563,0.4167,0.1463
content,A,global_0.4,0.4,5,5,0.001,0.0006,0.0007,0.0008,4.9011,0.6966,3.483,0.975,0.6648,0.4437,0.0321,0.7662,0.6373,0.1288
content,A,global_0.6,0.6,5,5,0.0007,0.0004,0.0005,0.0006,1.5169,0.9456,4.7282,0.9998,0.5811,0.2588,-0.0351,0.9623,0.9315,0.0308
content,A,global_0.8,0.8,5,5,0.0006,0.0004,0.0005,0.0006,0.1605,1.0,5.0,1.0,0.1606,0.053,-0.0775,1.0,1.0,0.0
content,A,global_1.0,1.0,5,5,0.0015,0.001,0.0011,0.0013,0.0195,1.0,5.0,1.0,0.0028,0.0009,0.9747,1.0,1.0,0.0
content,A,behavioral,p,5,5,0.0009,0.0005,0.0006,0.0007,7.0759,0.598,2.99,0.9128,0.6417,0.4946,0.0234,0.7832,0.4402,0.343
content,A,semantic,p,5,5,0.0008,0.0005,0.0006,0.0008,2.5636,0.8702,4.351,0.989,0.625,0.3611,-0.0232,0.898,0.8465,0.0515
content,A,hybrid_5,p,5,5,0.0009,0.0006,0.0007,0.0007,5.6409,0.6699,3.3494,0.9488,0.6596,0.4692,0.0293,0.8228,0.5396,0.2832
content,A,hybrid_10,p,5,5,0.0008,0.0005,0.0006,0.0006,4.8581,0.7149,3.5746,0.9634,0.6668,0.4491,0.0271,0.8443,0.6047,0.2397
content,A,hybrid_20,p,5,5,0.0008,0.0005,0.0006,0.0007,4.0809,0.7674,3.8372,0.974,0.6584,0.4213,0.0115,0.8665,0.683,0.1835
content,B,global_0.0,0.0,5,5,0.0009,0.0006,0.0007,0.0008,13.0931,0.347,1.7352,0.7694,0.5217,0.5251,0.0044,0.4186,0.2861,0.1325
content,B,global_0.2,0.2,5,5,0.0009,0.0006,0.0007,0.0009,10.4202,0.4245,2.1224,0.8864,0.5668,0.5179,0.0466,0.4918,0.3671,0.1247
content,B,global_0.4,0.4,5,5,0.0009,0.0006,0.0007,0.0008,8.2578,0.521,2.6048,0.975,0.6174,0.5029,0.0946,0.5805,0.4702,0.1103
content,B,global_0.6,0.6,5,5,0.0009,0.0006,0.0007,0.0008,6.4781,0.6388,3.1938,0.9998,0.6469,0.4739,0.2015,0.6821,0.6019,0.0802
content,B,global_0.8,0.8,5,5,0.0009,0.0006,0.0007,0.0009,4.7356,0.7713,3.8566,1.0,0.6018,0.4126,0.3001,0.7917,0.754,0.0377
content,B,global_1.0,1.0,5,5,0.0012,0.0008,0.0009,0.001,1.4035,0.8,4.0,1.0,0.0024,0.0011,0.359,0.8,0.8,0.0
content,B,behavioral,p,5,5,0.0009,0.0006,0.0007,0.0008,9.5277,0.4739,2.3694,0.9126,0.5974,0.5159,0.0875,0.5898,0.3751,0.2147
content,B,semantic,p,5,5,0.001,0.0006,0.0008,0.0009,6.9441,0.616,3.0802,0.989,0.6425,0.4875,0.1777,0.6584,0.5799,0.0785
content,B,hybrid_5,p,5,5,0.0009,0.0006,0.0007,0.0008,8.7088,0.5074,2.5368,0.9488,0.6098,0.5064,0.1073,0.6066,0.4228,0.1838
content,B,hybrid_10,p,5,5,0.0008,0.0006,0.0006,0.0007,8.2996,0.5292,2.646,0.9634,0.6202,0.5038,0.1155,0.617,0.4544,0.1627
content,B,hybrid_20,p,5,5,0.0009,0.0006,0.0007,0.0008,7.8636,0.5537,2.7686,0.974,0.6269,0.4968,0.1333,0.6294,0.4893,0.1401
